Ent Station,Ext Station,"Riders, Average Weekday, May 2012"
Benning Road,Capitol Heights,6.7
Benning Road,Capitol South,24.5
Benning Road,Cheverly,2.2
Benning Road,Clarendon,1.3
Benning Road,Cleveland Park,3.7
Benning Road,College Park-U of MD,2.5
Benning Road,Columbia Heights,39.5
Benning Road,Congress Heights,2.3
Benning Road,Court House,5.9
Benning Road,Crystal City,15.2
Benning Road,Deanwood,1
Benning Road,Dunn Loring,1.2
Benning Road,Dupont Circle,29.7
Benning Road,East Falls Church,1
Benning Road,Eastern Market,35.9
Benning Road,Eisenhower Avenue,2.3
Benning Road,Farragut North,14.9
Benning Road,Farragut West,125.5
Benning Road,Federal Center SW,34.4
Benning Road,Federal Triangle,39.5
Benning Road,Foggy Bottom,96.7
Benning Road,Forest Glen,0.9
Benning Road,Fort Totten,17.8
Benning Road,Franconia-Springfield,6.9
Benning Road,Friendship Heights,14.9
Benning Road,Gallery Place-Chinatown,25.1
Benning Road,Georgia Avenue-Petworth,23.3
Benning Road,Glenmont,2.9
Benning Road,Greenbelt,5.1
Benning Road,Grosvenor,1.3
Benning Road,Huntington,4.5
Benning Road,Judiciary Square,34.6
Benning Road,King Street,11
Benning Road,Landover,1.6
Benning Road,Largo Town Center,19.7
Benning Road,L'Enfant Plaza,46.9
Benning Road,McPherson Square,73.9
Benning Road,Medical Center,11.3
Benning Road,Metro Center,66.8
Benning Road,Minnesota Avenue,7
Benning Road,Morgan Blvd.,13
Benning Road,Mt. Vernon Square-UDC,12.9
Benning Road,Navy Yard,8.7
Benning Road,Naylor Road,2.5
Benning Road,New Carrollton,11
Benning Road,New York Ave,23.5
Benning Road,Pentagon,16.4
Benning Road,Pentagon City,15.3
Benning Road,Potomac Avenue,30.7
Benning Road,Prince George's Plaza,12
Benning Road,Reagan Washington National Airport,6
Benning Road,Rhode Island Avenue,24.1
Benning Road,Rockville,6.5
Benning Road,Rosslyn,19.1
Benning Road,Shady Grove,7.1
Benning Road,Shaw-Howard University,35.2
Benning Road,Silver Spring,14.8
Benning Road,Smithsonian,38.3
Benning Road,Southern Avenue,10.1
Benning Road,Stadium-Armory,38.5
Benning Road,Suitland,5.6
Benning Road,Takoma,5.5
